CompName;DC;IPC;LIC;IC;SC;FC1;FC2;FC;OOI;I2CF;I2MF;ODC;OCC;EC;RC;Null
SIS-AI Server;0,33;0;0;0,11;0;0;0;0;0,281930547;0,632031135;0;0,121212121;0,065321758;0;0;0
BWMS;0;0;0;0;1;1;0;1;0,109853413;0,471026843;0;0,060606061;0,584975569;0,4;1;0
SIS-Network Switch;0,33;0;0;0,11;0;0;0;0;0,288572333;0,660628886;0;0,121212121;0,066428722;0;0;0
CHS-AI Server;0,99;0,33;0;0,44;0;0;1;1;0,167554185;0,556471071;0;0,090909091;0,267925698;0;0;0
CHS-PLCs;0;0;0;0;0,5;0;1;1;0,119815029;0,525566401;0;0,090909091;0,269969172;0;0;0
Cranes;0;0;0;0;0,25;1;0,99;1,99;0;0,280031349;0;0,03030303;0,606666667;0,4;1;0
CHS-Network Switch;0,99;0;0;0,33;0;0;1;1;0,151278605;0,637071346;0;0,121212121;0,246879768;0;0;0
AMS-AI Server;0;0;0;0;0;0;0;0;0,172160892;0,571541987;0;0,090909091;0,028693482;0;0;0
AMS-PLCs;0;0;0;0;0,5;0;0;0;0,075825286;0,413650106;0;0,060606061;0,095970881;0;0;0
AMS-Network Switch;0;0;0;0;0;0;0;0;0,10894802;0,543245333;0;0,090909091;0,018158003;0;0;0
Engine;0;0;0;0;0,25;0,5;0;0,5;0,016541415;0,360054373;0;0,03030303;0,294423569;0;1;0
Thrusters;0;0;0;0;0,25;0,25;0;0,25;0,016541415;0,360054373;0;0,03030303;0,252756903;0;1;0
AEMC-PLCs;0;0;0;0;0,5;0;0;0;0,216855306;0,880174415;0;0,121212121;0,286142551;0;1;0
AEMC-AI Server;0,33;0,66;0;0,33;0;0;0;0;0,225380057;0,794053078;0;0,090909091;0,25923001;0;1;0
AEMC-Network Switch;0,33;0;0;0,11;0;0;0;0;0,317732124;1;0;0,121212121;0,237955354;0;1;0
DP-Controller;0;0;0;0;0;0;0;0;0,155439293;0,798698163;0;0,090909091;0,025906549;0;0;0
Satellite Router;0;0;0;0;0;0;0;0;0,107640465;0,544723097;0;0,090909091;0,017940078;0;0;0
VHF;0;0;0;0;0;0;0;0;0,426254637;0;0,512444337;0,090909091;0,07104244;0;0;0
Broadband Router;0;0;0;0;0;0;0,33;0,33;0,107640465;0,544723097;0;0,090909091;0,072940078;0;0;0
Navigation Situation Awareness System;0,66;0,99;0,99;0,88;1;0,25;0;0,25;1;0,730838352;1;0,333333333;0,688333333;0;1;0
Radar;0;0;0;0;0,25;0;0;0;0,196832579;0;0,241987439;0,060606061;0,074472097;0;0;0
LiDAR;0;0;0;0;0,25;0;0;0;0,196832579;0;0,241987439;0,060606061;0,074472097;0;0;0
AIS;0;0;0;0;0,5;0;0;0;0,196832579;0;0,241987439;0,060606061;0,116138763;0;0;0
Sensor fusion;0,33;0;0;0,11;0,25;0;0;0;0,196832579;0;0,241987439;0,060606061;0,09280543;0;0;0
PS-Network Switch;0,66;0;0;0,22;0;0;0;0;1;0,787330027;1;0,333333333;0,203333333;0;0;0
PTZ Cameras;0;0;0;0;0;0;0;0;0,196832579;0;0,241987439;0,060606061;0,03280543;0;0;0
GNSS;0;0;0;0;0,25;0;0;0;0,196832579;0;0,241987439;0,060606061;0,074472097;0;0;0
RSE Opt Sys;0,99;0,99;0;0,66;0;0;0;0;0,281930547;0;0;0,121212121;0,156988425;0;0;0
Main Data Historian;0,99;0;0,99;0,66;0;0;0;0;0,109853413;0;0;0,060606061;0,128308902;0;0;0
